Sample ,Sample Type,Reference,Gly,D&L-Ser,D&L-Ala,D&L-Asp,D&L-Glu,D&L-valine,Type,EE=1 means fully racemic
Murchison Meteorite,CM,Botta et al. 2002,0.43,0.06,0.25,0.06,0.2,0,AC_High,Average EE = 0.66
Murchison Meteorite,CM,Botta et al. 2007,0.4,0.06,0.29,0.08,0.17,0,AP,Average EE = 0.85
Murchison Meteorite,CM,Burton et al. 2015,0.34,0.03,0.27,0.07,0.18,0.1,AC_High,Average EE = 0.6
Murchison Meteorite,CM,Cronin and Pizzarello 1983,0.39,0,0.2,0.08,0.27,0.06,AC_High,EE not measured 
Murchison Meteorite,CM,Cronin and Pizzarello 1983,0.44,0,0.24,0.04,0.21,0.07,AC_High,EE not measured 
Murchison Meteorite,CM,Cronin and Pizzarello 1983,0.21,0,0.22,0.07,0.43,0.07,AC_High,EE not measured 
Murchison Meteorite,CM,Engel and Nagy 1983,0.36,0,0.14,0.12,0.28,0.1,AC_High,EE not measured 
Murchison Meteorite,CM,Engel and Nagy 1983,0.34,0,0.14,0.17,0.32,0.04,AC_High,EE not measured 
Murchison Meteorite,CM,Glavin et al 2006,0.41,0.06,0.26,0.05,0.14,0.07,AC_Low,Average EE = 0.83 but Ser <0.8 and Val <0.5
Murchison Meteorite,CM,Kminek et al 2002,0.46,0,0.26,0.07,0.21,0,AC_High,Average EE = 0.57
Murray Meteorite,CM,Botta et al. 2002,0.53,0.02,0.32,0.03,0.1,0,AC_Low,Average EE = 0.75 but Asp <0.8 and Glu =0.5
Nogoya Meteorite,CM,Botta et al. 2002,0.3,0.09,0.12,0.16,0.33,0,AC_High,Average EE = 0.32
Mighei Meteorite,CM,Botta et al. 2002,0.38,0.03,0.28,0.12,0.19,0,AC_Low,Average EE = 0.73 but Ala =0.7 and Glu =0.4
Essebi Meteorite,CM,Botta et al. 2002,0.42,0.05,0.2,0.17,0.15,0,AC_High,Average EE = 0.6
ALH 88045 Meteorite,CM,Botta et al. 2002,0.19,0.09,0.52,0.09,0.11,0,AC_High,Average EE = 0.5
